perfil_riesgo,dimension_Likert,descripcion_perfil,acciones_propuestas,puntuacion_1_a_5,observacion_cualitativa
alto,comprensibilidad,Total de clics en el LMS en el cuartil inferior del curso; Cero o muy pocos accesos al aula virtual en las primeras dos semanas; Calificación media en evaluaciones por debajo del percentil 25,"Contacto sincrónico individualizado del tutor en menos de 48 horas, preferiblemente videollamada para verificar la situación del estudiante. | Diagnóstico estructurado de las causas del bajo compromiso (motivacionales, técnicas, socioeconómicas o personales). | Activación del protocolo institucional de retención: derivación a los servicios de orientación psicopedagógica y financiera si procede.",,
alto,aplicabilidad,Total de clics en el LMS en el cuartil inferior del curso; Cero o muy pocos accesos al aula virtual en las primeras dos semanas; Calificación media en evaluaciones por debajo del percentil 25,"Contacto sincrónico individualizado del tutor en menos de 48 horas, preferiblemente videollamada para verificar la situación del estudiante. | Diagnóstico estructurado de las causas del bajo compromiso (motivacionales, técnicas, socioeconómicas o personales). | Activación del protocolo institucional de retención: derivación a los servicios de orientación psicopedagógica y financiera si procede.",,
alto,pertinencia,Total de clics en el LMS en el cuartil inferior del curso; Cero o muy pocos accesos al aula virtual en las primeras dos semanas; Calificación media en evaluaciones por debajo del percentil 25,"Contacto sincrónico individualizado del tutor en menos de 48 horas, preferiblemente videollamada para verificar la situación del estudiante. | Diagnóstico estructurado de las causas del bajo compromiso (motivacionales, técnicas, socioeconómicas o personales). | Activación del protocolo institucional de retención: derivación a los servicios de orientación psicopedagógica y financiera si procede.",,
alto,novedad,Total de clics en el LMS en el cuartil inferior del curso; Cero o muy pocos accesos al aula virtual en las primeras dos semanas; Calificación media en evaluaciones por debajo del percentil 25,"Contacto sincrónico individualizado del tutor en menos de 48 horas, preferiblemente videollamada para verificar la situación del estudiante. | Diagnóstico estructurado de las causas del bajo compromiso (motivacionales, técnicas, socioeconómicas o personales). | Activación del protocolo institucional de retención: derivación a los servicios de orientación psicopedagógica y financiera si procede.",,
alto,factibilidad,Total de clics en el LMS en el cuartil inferior del curso; Cero o muy pocos accesos al aula virtual en las primeras dos semanas; Calificación media en evaluaciones por debajo del percentil 25,"Contacto sincrónico individualizado del tutor en menos de 48 horas, preferiblemente videollamada para verificar la situación del estudiante. | Diagnóstico estructurado de las causas del bajo compromiso (motivacionales, técnicas, socioeconómicas o personales). | Activación del protocolo institucional de retención: derivación a los servicios de orientación psicopedagógica y financiera si procede.",,
alto,impacto_percibido,Total de clics en el LMS en el cuartil inferior del curso; Cero o muy pocos accesos al aula virtual en las primeras dos semanas; Calificación media en evaluaciones por debajo del percentil 25,"Contacto sincrónico individualizado del tutor en menos de 48 horas, preferiblemente videollamada para verificar la situación del estudiante. | Diagnóstico estructurado de las causas del bajo compromiso (motivacionales, técnicas, socioeconómicas o personales). | Activación del protocolo institucional de retención: derivación a los servicios de orientación psicopedagógica y financiera si procede.",,
medio,comprensibilidad,Interacción LMS irregular: días con alta actividad seguidos de lapsos prolongados sin acceso.; Calificación media de evaluaciones entre los percentiles 25 y 50.; Tendencia descendente del número de clics semana a semana.,"Mensaje proactivo del tutor mediante el sistema de comunicación del LMS, recordando los próximos hitos del curso. | Invitación a sesión grupal de tutoría sincrónica con compañeros del mismo perfil de actividad, fomentando la integración social. | Sugerencia de recursos complementarios específicos según las evaluaciones con menor rendimiento.",,
medio,aplicabilidad,Interacción LMS irregular: días con alta actividad seguidos de lapsos prolongados sin acceso.; Calificación media de evaluaciones entre los percentiles 25 y 50.; Tendencia descendente del número de clics semana a semana.,"Mensaje proactivo del tutor mediante el sistema de comunicación del LMS, recordando los próximos hitos del curso. | Invitación a sesión grupal de tutoría sincrónica con compañeros del mismo perfil de actividad, fomentando la integración social. | Sugerencia de recursos complementarios específicos según las evaluaciones con menor rendimiento.",,
medio,pertinencia,Interacción LMS irregular: días con alta actividad seguidos de lapsos prolongados sin acceso.; Calificación media de evaluaciones entre los percentiles 25 y 50.; Tendencia descendente del número de clics semana a semana.,"Mensaje proactivo del tutor mediante el sistema de comunicación del LMS, recordando los próximos hitos del curso. | Invitación a sesión grupal de tutoría sincrónica con compañeros del mismo perfil de actividad, fomentando la integración social. | Sugerencia de recursos complementarios específicos según las evaluaciones con menor rendimiento.",,
medio,novedad,Interacción LMS irregular: días con alta actividad seguidos de lapsos prolongados sin acceso.; Calificación media de evaluaciones entre los percentiles 25 y 50.; Tendencia descendente del número de clics semana a semana.,"Mensaje proactivo del tutor mediante el sistema de comunicación del LMS, recordando los próximos hitos del curso. | Invitación a sesión grupal de tutoría sincrónica con compañeros del mismo perfil de actividad, fomentando la integración social. | Sugerencia de recursos complementarios específicos según las evaluaciones con menor rendimiento.",,
medio,factibilidad,Interacción LMS irregular: días con alta actividad seguidos de lapsos prolongados sin acceso.; Calificación media de evaluaciones entre los percentiles 25 y 50.; Tendencia descendente del número de clics semana a semana.,"Mensaje proactivo del tutor mediante el sistema de comunicación del LMS, recordando los próximos hitos del curso. | Invitación a sesión grupal de tutoría sincrónica con compañeros del mismo perfil de actividad, fomentando la integración social. | Sugerencia de recursos complementarios específicos según las evaluaciones con menor rendimiento.",,
medio,impacto_percibido,Interacción LMS irregular: días con alta actividad seguidos de lapsos prolongados sin acceso.; Calificación media de evaluaciones entre los percentiles 25 y 50.; Tendencia descendente del número de clics semana a semana.,"Mensaje proactivo del tutor mediante el sistema de comunicación del LMS, recordando los próximos hitos del curso. | Invitación a sesión grupal de tutoría sincrónica con compañeros del mismo perfil de actividad, fomentando la integración social. | Sugerencia de recursos complementarios específicos según las evaluaciones con menor rendimiento.",,
bajo,comprensibilidad,Actividad regular en el LMS con clics distribuidos en el tiempo.; Calificaciones medias en el percentil 50 o superior.; Entregas puntuales de las evaluaciones programadas.,Mensaje motivacional periódico reforzando el progreso observado. | Inclusión en programas de mentoría inversa: convertir al estudiante en mentor de compañeros con mayor riesgo. | Oferta de retos académicos opcionales (gamificación) que consolide su patrón positivo de aprendizaje.,,
bajo,aplicabilidad,Actividad regular en el LMS con clics distribuidos en el tiempo.; Calificaciones medias en el percentil 50 o superior.; Entregas puntuales de las evaluaciones programadas.,Mensaje motivacional periódico reforzando el progreso observado. | Inclusión en programas de mentoría inversa: convertir al estudiante en mentor de compañeros con mayor riesgo. | Oferta de retos académicos opcionales (gamificación) que consolide su patrón positivo de aprendizaje.,,
bajo,pertinencia,Actividad regular en el LMS con clics distribuidos en el tiempo.; Calificaciones medias en el percentil 50 o superior.; Entregas puntuales de las evaluaciones programadas.,Mensaje motivacional periódico reforzando el progreso observado. | Inclusión en programas de mentoría inversa: convertir al estudiante en mentor de compañeros con mayor riesgo. | Oferta de retos académicos opcionales (gamificación) que consolide su patrón positivo de aprendizaje.,,
bajo,novedad,Actividad regular en el LMS con clics distribuidos en el tiempo.; Calificaciones medias en el percentil 50 o superior.; Entregas puntuales de las evaluaciones programadas.,Mensaje motivacional periódico reforzando el progreso observado. | Inclusión en programas de mentoría inversa: convertir al estudiante en mentor de compañeros con mayor riesgo. | Oferta de retos académicos opcionales (gamificación) que consolide su patrón positivo de aprendizaje.,,
bajo,factibilidad,Actividad regular en el LMS con clics distribuidos en el tiempo.; Calificaciones medias en el percentil 50 o superior.; Entregas puntuales de las evaluaciones programadas.,Mensaje motivacional periódico reforzando el progreso observado. | Inclusión en programas de mentoría inversa: convertir al estudiante en mentor de compañeros con mayor riesgo. | Oferta de retos académicos opcionales (gamificación) que consolide su patrón positivo de aprendizaje.,,
bajo,impacto_percibido,Actividad regular en el LMS con clics distribuidos en el tiempo.; Calificaciones medias en el percentil 50 o superior.; Entregas puntuales de las evaluaciones programadas.,Mensaje motivacional periódico reforzando el progreso observado. | Inclusión en programas de mentoría inversa: convertir al estudiante en mentor de compañeros con mayor riesgo. | Oferta de retos académicos opcionales (gamificación) que consolide su patrón positivo de aprendizaje.,,
